ident;iata_code;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality
ID-AGD;AGD;Anggi Airport;-1.3858;133.8737;6644;AS;ID;ID-PB;Anggi-Papua Island
ID-AKQ;AKQ;Gunung Batin Airport;-4.61113977432251;105.23200225830078;99;AS;ID;ID-LA;Astraksetra-Sumatra Island
ID-AYW;AYW;Ayawasi Airport;-1.1593;132.4633;1560;AS;ID;ID-PB;Ayawasi-Papua Island
ID-BJG;BJG;Boalang Airport;-0.9728959798812866;122.1449966430664;146;AS;ID;ID-ST;Boalang-Celebes Island
ID-BXM;BXM;Batom Airport;-4.442687;140.883565;396;AS;ID;ID-PA;Batom-Papua Island
ID-DRH;DRH;Dabra Airport;-3.2705;138.6132;208;AS;ID;ID-PA;Dabra-Papua Island
ID-ELR;ELR;Elelim Airport;-3.7826;139.3861;1490;AS;ID;ID-PA;Elelim-Papua Island
ID-EWE;EWE;Ewer Airport;-5.494;138.083;27;AS;ID;ID-PA;Asmat
ID-GAV;GAV;Gag Island Airport;-0.4005559980869293;129.89500427246094;1;AS;ID;ID-PB;Gag Island
ID-IUL;IUL;Ilu Airport;-3.7051;138.2002;6408;AS;ID;ID-PA;Ilu-Papua Island
ID-KBF;KBF;Karubaga Airport;-3.684;138.479;5200;AS;ID;ID-PA;Karubaga-Papua Island
ID-KBX;KBX;Kambuaya Airport;-1.316815;132.286987;1422;AS;ID;ID-PB;Kambuaya-Papua Island
ID-KCD;KCD;Kamur Airport;-6.1851;138.6372;25;AS;ID;ID-PA;Kamur-Papua Island
ID-KCI;KCI;Kon Airport;-8.349193;127.050793;150;AS;TL;TL-LA;Kon
ID-KEA;KEA;Keisah Airport;-7.666669845581055;140.5;81;AS;ID;ID-PA;Keisah-Papua Island
ID-KMM;KMM;Kiman Airport;-3.666670083999634;136.1666717529297;3250;AS;ID;ID-PA;Kiman-Papua Island
ID-KOD;KOD;Kotabangun Airport;-0.266669988632;116.583335876;13;AS;ID;ID-KI;Kotabangun-Borneo Island
ID-KRC;KRC;Departi Parbo Airport;-2.093;101.4683;2600;AS;ID;ID-JA;Sungai Penuh
ID-LLN;LLN;Kelila Airport;-3.728565;138.710375;9092;AS;ID;ID-PA;Kelila-Papua Island
ID-LWE;LWE;Lewoleba Airport;-8.3629;123.438;25;AS;ID;ID-NT;Lewoleba-Lembata Island
ID-LYK;LYK;Lunyuk Airport;-8.9889;117.2158;44;AS;ID;ID-NB;Lunyuk-Simbawa Island
ID-MPT;MPT;Maliana airport;-8.167739868164062;125.00900268554688;957;AS;ID;ID-NT;Maliana-Alor Island
ID-MSI;MSI;Masalembo Airport;-5.583330154418945;114.43299865722656;30;AS;ID;ID-JI;Masalembo Island
ID-MUF;MUF;Muting Airport;-7.3147;140.5668;70;AS;ID;ID-PA;Muting
ID-NAF;NAF;Banaina Airport;2.72305011749;117.125999451;60;AS;ID;ID-KU;Banaina-Borneo Island
ID-OBD;OBD;Obano Airport;-3.9106;136.2306;5800;AS;ID;ID-PA;Obano-Papua Island
ID-PUM;PUM;Pomala Airport;-4.1810898780823;121.61799621582;88;AS;ID;ID-SG;Kolaka
ID-PWL;PWL;Jenderal Besar Soedirman Airport;-7.461342;109.414612;225;AS;ID;ID-JT;Purwokerto-Java Island
ID-RAQ;RAQ;Sugimanuru Airport;-4.760557;122.569371;132;AS;ID;ID-SG;Raha-Muna Island
ID-RKI;RKI;Rokot Airport;-0.949999988079071;100.75;4975;AS;ID;ID-SB;Rokot-Sumatra Island
ID-RTI;RTI;Roti Airport;-10.484299659729004;123.3740005493164;65;AS;ID;ID-NT;Roti-Rote Island
ID-RUF;RUF;Yuruf Airport;-3.6333;140.958;1844;AS;ID;ID-PA;Amgotro
ID-SAE;SAE;Sangir Airport;-8.366669654846191;118.33335876464844;175;AS;ID;ID-NB;Sangir-Simbawa Island
ID-TBM;TBM;Tumbang Samba Airport;-1.4694;113.0833;160;AS;ID;ID-KT;Tumbang Samba-Borneo Island
ID-TMY;TMY;Tiom Airport;-3.9256;138.4555;6931;AS;ID;ID-PA;Tiom-Papua Island
ID-ZEG;ZEG;Senggo Airport;-5.6908;139.3502;52;AS;ID;ID-PA;Senggo-Papua Island
ID-ZGP;UGU;Bilogai-Sugapa Airport;-3.73956;137.031998;7348;AS;ID;ID-PA;Sugapa-Papua Island
IDN;IDN;Indagen Airport;-6.22663;147.244;5788;OC;PG;PG-MPL;Indagen
IMA;IMA;Iamalele Airport;-9.5107;150.5246;40;OC;PG;PG-MBA;Iamalele, Fergusson Island
IMG;IMG;Inhaminga Airport;-18.41;35.0045;1072;AF;MZ;MZ-S;Inhaminga
IN-0012;PYG;Pakyong Airport;27.2313;88.587196;4590;AS;IN;IN-SK;Pakyong
IN-0070;VDY;Jindal Vijaynagar Airport;15.175921;76.63303;1670;AS;IN;IN-KA;Toranagallu
IN-0090;DGH;Deoghar Airport;24.446842;86.704955;361;AS;IN;IN-JH;
IN-JGB;JGB;Jagdalpur Airport;19.074301;82.036797;1822;AS;IN;IN-CT;Jagdalpur
IN-NVY;NVY;Neyveli Airport;11.6129560471;79.527381897;184;AS;IN;IN-TN;Neyveli
IN-RJI;RJI;Rajouri Airport;33.377899169921875;74.31520080566406;3000;AS;IN;IN-JK;Rajouri
IN-TEI;TEI;Tezu Airport;27.9412002563;96.1343994141;800;AS;IN;IN-AR;Tezu
INE;INE;Chinde Airport;-18.59;36.4489;22;AF;MZ;MZ-Q;Chinde
IOK;IOK;Iokea Airport;-8.401;146.277;39;OC;PG;PG-GPK;Iokea
IOP;IOP;Ioma Airport;-8.3614;147.84;95;OC;PG;PG-NPP;Ioma
IR-0001;KHA;Khaneh Airport;36.733341217;45.1500015259;4804;AS;IR;IR-04;Khaneh
IRU;IRU;Iranamadu Seaplane Base;9.299746;80.448627;102;AS;LK;LK-4;Iranamadu
